iter	Passed	Remaining
0	411	410653
1	832	415324
2	881	293109
3	929	231374
4	980	195210
5	1404	232600
6	1465	207832
7	1881	233289
8	1926	212120
9	1969	195004
10	2016	181284
11	2438	200739
12	2862	217341
13	2958	208362
14	3378	221861
15	3422	210488
16	3470	200673
17	3887	212086
18	3938	203333
19	3990	195527
20	4086	190507
21	4512	200598
22	4940	209848
23	4991	202985
24	5083	198262
25	5508	206346
26	5552	200089
27	5616	194975
28	6036	202109
29	6088	196854
30	6238	195013
31	6660	201490
32	7088	207714
33	7509	213363
34	7557	208379
35	7606	203694
36	8028	208967
37	8078	204525
38	8228	202766
39	8275	198619
40	8324	194704
41	8748	199548
42	9166	203998
43	9587	208316
44	9631	204400
45	9776	202754
46	10195	206734
47	10617	210585
48	11033	214148
49	11453	217624
50	11547	214881
51	11598	211444
52	12014	214671
53	12271	214971
54	12335	211947
55	12593	212291
56	13015	215334
57	13437	218250
58	13855	220984
59	14275	223646
60	14697	226242
61	15117	228715
62	15376	228700
63	15524	227047
64	15944	229356
65	15995	226353
66	16417	228625
67	16482	225907
68	16530	223037
69	16779	222923
70	16821	220107
71	16913	217994
72	17330	220073
73	17586	220075
74	18008	222099
75	18042	219353
76	18466	221357
77	18883	223214
78	19306	225081
79	19727	226866
80	20151	228628
81	20191	226050
82	20284	224106
83	20330	221703
84	20743	223302
85	20794	220999
86	20840	218700
87	21259	220326
88	21683	221946
89	21726	219677
90	21826	218024
91	22250	219599
92	22505	219487
