iter	Passed	Remaining
0	48	97082
1	92	92747
2	137	91724
3	183	91714
4	226	90523
5	272	90487
6	316	90149
7	359	89625
8	404	89557
9	453	90149
10	502	90949
11	545	90302
12	589	90177
13	634	90018
14	679	89907
15	728	90330
16	773	90212
17	817	90056
18	862	89900
19	906	89755
20	953	89865
21	1000	89962
22	1049	90242
23	1094	90118
24	1138	89916
25	1185	89993
26	1231	89999
27	1277	89983
28	1327	90224
29	1381	90719
30	1432	91011
31	1501	92365
32	1568	93470
33	1623	93873
34	1673	93934
35	1734	94610
36	1786	94767
37	1837	94891
38	1887	94882
39	1941	95122
40	1992	95206
41	2047	95453
42	2096	95418
43	2152	95701
44	2203	95735
45	2255	95823
46	2306	95855
47	2357	95856
48	2406	95836
49	2452	95649
50	2504	95704
51	2549	95518
52	2599	95483
53	2646	95360
54	2690	95135
55	2742	95216
56	2787	95029
57	2834	94902
58	2877	94672
59	2923	94520
60	2969	94380
61	3013	94203
62	3060	94098
63	3105	93932
64	3150	93794
65	3200	93782
66	3244	93616
67	3290	93486
68	3335	93341
69	3391	93518
70	3440	93487
71	3485	93331
72	3532	93247
73	3576	93084
74	3626	93071
75	3675	93040
76	3723	92995
77	3770	92910
78	3815	92781
79	3860	92660
80	3912	92702
81	3959	92603
82	4007	92568
83	4066	92751
84	4112	92647
85	4158	92542
86	4214	92673
87	4259	92544
88	4304	92426
89	4351	92352
90	4399	92290
91	4444	92167
92	4488	92030
93	4534	91937
94	4579	91833
95	4627	91780
96	4672	91667
97	4715	91527
98	4759	91385
99	4806	91316
100	4853	91256
101	4902	91216
102	4946	91104
103	4998	91130
104	5074	91576
105	5125	91587
106	5171	91485
107	5219	91441
108	5262	91294
109	5309	91232
110	5356	91158
111	5402	91063
112	5448	90981
113	5492	90872
114	5543	90864
115	5596	90901
116	5660	91102
117	5714	91147
118	5759	91042
119	5804	90939
120	5852	90879
121	5903	90873
122	5948	90773
123	5991	90646
124	6044	90672
125	6091	90597
126	6141	90581
127	6193	90579
128	6246	90597
129	6305	90702
130	6360	90746
131	6411	90739
132	6470	90833
133	6519	90787
134	6568	90746
135	6624	90788
136	6674	90763
137	6720	90677
138	6764	90559
139	6808	90459
140	6864	90507
141	6916	90496
142	6972	90540
143	7029	90606
144	7084	90628
145	7141	90683
146	7194	90690
147	7245	90666
148	7295	90636
149	7345	90597
150	7397	90583
151	7445	90527
152	7494	90476
153	7543	90420
