iter	Passed	Remaining
0	56	112760
1	104	104435
2	159	106187
3	206	103241
4	259	103443
5	307	102234
6	351	100056
7	399	99545
8	444	98338
9	489	97508
10	536	97079
11	588	97565
12	636	97263
13	682	96791
14	726	96169
15	774	95989
16	829	96718
17	875	96420
18	921	96048
19	967	95795
20	1014	95565
21	1063	95659
22	1113	95673
23	1159	95490
24	1209	95546
25	1262	95816
26	1314	96022
27	1366	96268
28	1416	96288
29	1466	96313
30	1522	96687
31	1566	96359
32	1613	96153
33	1659	95945
34	1706	95793
35	1756	95805
36	1812	96185
37	1859	96026
38	1910	96069
39	1958	95960
40	2007	95908
41	2052	95679
42	2104	95761
43	2147	95466
44	2189	95133
45	2235	94961
46	2283	94886
47	2330	94764
48	2378	94703
49	2423	94524
50	2483	94923
51	2535	94975
52	2580	94786
53	2625	94599
54	2670	94437
55	2720	94449
56	2764	94247
57	2811	94138
58	2856	93982
59	2903	93886
60	2954	93902
61	3001	93811
62	3048	93729
63	3100	93776
64	3146	93662
65	3198	93716
66	3250	93771
67	3338	94861
68	3391	94902
69	3450	95124
70	3502	95151
71	3548	95015
72	3593	94867
73	3639	94725
74	3683	94540
75	3728	94398
76	3774	94274
77	3823	94203
78	3872	94174
79	3923	94168
80	3972	94103
81	4017	93970
82	4062	93819
83	4106	93664
84	4151	93528
85	4198	93436
86	4241	93264
87	4288	93184
88	4334	93064
89	4379	92949
90	4428	92895
91	4476	92835
92	4523	92763
93	4569	92645
94	4609	92429
95	4664	92515
96	4713	92480
97	4764	92471
98	4811	92399
99	4858	92308
100	4909	92313
101	4954	92198
102	4999	92079
103	5044	91957
104	5098	92008
105	5163	92254
106	5215	92262
107	5268	92300
108	5321	92317
109	5369	92251
110	5419	92228
111	5463	92100
112	5511	92034
113	5558	91965
114	5607	91912
115	5654	91842
116	5700	91750
117	5747	91665
118	5797	91646
119	5844	91563
120	5896	91569
121	5942	91471
122	5989	91399
123	6036	91328
124	6089	91349
125	6150	91471
126	6201	91462
127	6254	91465
128	6310	91523
129	6363	91531
130	6424	91662
131	6532	92443
132	6608	92762
133	6680	93022
134	6749	93239
135	6819	93460
136	6878	93536
137	6937	93601
138	6986	93533
139	7034	93459
140	7084	93407
141	7132	93329
142	7182	93269
143	7228	93173
144	7278	93109
145	7324	93013
146	7382	93065
147	7429	92975
148	7473	92846
149	7554	93166
150	7609	93177
151	7658	93111
152	7708	93051
153	7758	92996
154	7824	93137
155	7885	93206
156	7953	93368
157	8011	93397
158	8066	93397
159	8120	93388
160	8194	93599
161	8253	93640
162	8333	93914
163	8397	94005
164	8465	94147
165	8534	94292
166	8601	94409
167	8663	94474
