iter	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.6776385955	0.742184019	0.4456003468
5	0.6190781544	0.7554115451	0.4428980761
10	0.5818332498	0.7568334989	0.4557939914
15	0.5567418178	0.7580540347	0.4592720971
20	0.539166434	0.7684560885	0.4679930796
25	0.5259086428	0.7697130153	0.4716157205
30	0.5157467442	0.7739175988	0.4779541446
35	0.5074490221	0.7722981323	0.4803220036
40	0.5014399979	0.7747301808	0.4842484248
45	0.4954687402	0.7762862666	0.4875396466
50	0.4913357267	0.7771731763	0.4906349931
55	0.4876922713	0.7779606358	0.4935543278
60	0.4841768309	0.778904853	0.4956079519
65	0.4817648173	0.7791149904	0.4960666358
70	0.4787538221	0.7811599286	0.4993026499
75	0.476111642	0.7806946424	0.4995340168
80	0.4735062337	0.7823216336	0.5018691589
85	0.4713246266	0.7825332241	0.5023386342
90	0.4684918646	0.7840553584	0.5044538209
95	0.4665712614	0.7841238079	0.5058878945
100	0.4644573321	0.7904933244	0.512505899
105	0.4621037004	0.7910025243	0.5149643705
110	0.4600883551	0.7916458234	0.5164363983
115	0.4590574771	0.7925276411	0.5171428571
120	0.4566619284	0.7945911772	0.5205741627
125	0.4548717757	0.7938178763	0.5201149425
130	0.4526469137	0.7943567151	0.5213634181
135	0.4514141685	0.7954537623	0.5225744476
140	0.4502120207	0.7977529863	0.5252525253
145	0.4489359177	0.8003739255	0.5287023637
150	0.4472068225	0.7992702101	0.5288135593
155	0.4459496543	0.8010183173	0.5315840622
160	0.4444916135	0.8020044697	0.5325558795
165	0.4436283694	0.802884112	0.5319148936
