iter	Logloss
0	0.6077103417
1	0.5441280358
2	0.4879768037
3	0.4569884061
4	0.429592595
5	0.407707155
6	0.3921370878
7	0.3772334398
8	0.3657334946
9	0.3571829914
10	0.3477412893
11	0.3412211691
12	0.3370230481
13	0.3315281471
14	0.3256023525
15	0.3232357725
16	0.320926557
17	0.3170338549
18	0.3141155384
19	0.313678693
20	0.3114541462
21	0.3078157978
22	0.3066071836
23	0.3049884724
24	0.3047153601
25	0.3033773111
26	0.2998385921
27	0.2979469075
28	0.2978265046
29	0.2955345193
30	0.2937493191
31	0.2930185879
32	0.290553629
33	0.285677741
34	0.284940919
35	0.2846220911
36	0.2820813333
37	0.2802814041
38	0.277549609
39	0.2764238109
40	0.2762645706
41	0.275494863
42	0.2753158914
43	0.2722868292
44	0.2720820124
45	0.270033496
46	0.2682437336
47	0.2657294927
48	0.2657004052
49	0.2653133282
50	0.2652498497
51	0.26519142
52	0.2643746999
53	0.2622396158
54	0.2622348913
55	0.2610033499
56	0.2609998992
57	0.2609328543
58	0.260909047
59	0.2603792883
60	0.260375606
61	0.2593900116
62	0.2593334808
63	0.258652819
64	0.2582217169
65	0.2582097901
66	0.2582086322
67	0.2581936252
68	0.2581388777
69	0.2581377198
70	0.2580776225
71	0.258076812
72	0.2579866777
73	0.2578136811
74	0.2577479794
75	0.2569922598
76	0.2569768823
77	0.2537156526
78	0.2536950413
79	0.2536858472
80	0.2536748004
81	0.2524385346
82	0.2518433057
83	0.2498345068
84	0.2497993749
85	0.2474519704
86	0.2474238324
87	0.2473592655
88	0.2464057229
89	0.2464010911
90	0.2463973394
91	0.2463943519
92	0.2463739258
93	0.2463583631
94	0.2463510217
95	0.2463492385
96	0.2463477795
97	0.2463475479
98	0.2463406465
99	0.2463352274
100	0.2463350189
101	0.2463343242
102	0.2463342315
103	0.246334162
104	0.2463300629
105	0.2463299935
106	0.2463299703
107	0.246329924
108	0.2463266817
109	0.2463240416
110	0.2463219805
111	0.2463219805
112	0.2463203362
113	0.2463189698
114	0.2463179045
115	0.2463178814
116	0.2463170013
117	0.2463170245
118	0.2463170013
119	0.2463170013
120	0.2463170013
121	0.2463170013
122	0.2463163066
123	0.2463163066
124	0.2463163066
125	0.2463157508
126	0.2463152644
127	0.2463152876
128	0.2463149402
129	0.246314616
130	0.2463143612
131	0.2463143612
132	0.2463143612
133	0.2463143612
134	0.2463143844
135	0.2463141528
136	0.2463139907
137	0.2463140138
138	0.246314037
139	0.246314037
140	0.2463140138
141	0.2463138517
142	0.2463138981
143	0.2463137823
144	0.2463136665
145	0.246313597
146	0.2446607728
147	0.2403177932
148	0.2402872235
149	0.2386602678
150	0.2386168681
151	0.2385922734
152	0.2382693927
153	0.2382563079
154	0.2382457243
155	0.2364196951
156	0.2357163607
157	0.2356922987
158	0.2356349342
159	0.2355045036
160	0.2334416751
161	0.232425951
162	0.2323938759
163	0.2313717137
164	0.2301367678
165	0.2288750736
166	0.228855458
167	0.2288527021
168	0.2288481166
